FID,Latitude,Longitude,NAME,SUBSET,FEAT_TYPE,WATER,STATUS,Timemin
328,47.9612513,-122.177971, , , , , ,34.0
329,47.9612513,-122.167971, , , , , ,35.0
330,47.9612513,-122.15797099999999, , , , , ,37.0
331,47.9612513,-122.147971, , , , , ,37.0
332,47.9612513,-122.137971, , , , , ,39.0
333,47.9612513,-122.127971, , , , , ,38.0
334,47.9612513,-122.117971, , , , , ,37.0
335,47.9612513,-122.10797099999999, , , , , ,37.0
336,47.9612513,-122.097971, , , , , ,39.0
337,47.9612513,-122.087971, , , , , ,39.0
338,47.9612513,-122.07797099999999, , , , , ,42.0
339,47.9612513,-122.067971, , , , , ,40.0
340,47.9612513,-122.057971, , , , , ,42.0
341,47.9612513,-122.04797099999999, , , , , ,45.0
342,47.9612513,-122.037971, , , , , ,48.0
343,47.9612513,-122.027971, , , , , ,46.0
344,47.9612513,-122.017971, , , , , ,48.0
345,47.9612513,-122.007971, , , , , ,48.0
346,47.9612513,-121.99797099999999, , , , , ,49.0
347,47.9612513,-121.987971, , , , , ,50.0
348,47.9612513,-121.977971, , , , , ,51.0
349,47.9612513,-121.96797099999999, , , , , ,52.0
350,47.9612513,-121.957971, , , , , ,53.0
351,47.9612513,-121.947971, , , , , ,54.0
352,47.951251299999996,-122.43797099999999, , , , , ,146.0
353,47.951251299999996,-122.427971, , , , , ,147.0
354,47.951251299999996,-122.417971, , , , , ,147.0
355,47.951251299999996,-122.40797099999999, , , , , ,148.0
356,47.951251299999996,-122.397971, , , , , ,146.0
357,47.951251299999996,-122.387971, , , , , ,150.0
358,47.951251299999996,-122.377971, , , , , ,149.0
359,47.951251299999996,-122.367971, , , , , ,151.0
360,47.951251299999996,-122.35797099999999, , , , , ,150.0
361,47.951251299999996,-122.287971, , , , , ,30.0
362,47.951251299999996,-122.277971, , , , , ,32.0
363,47.951251299999996,-122.267971, , , , , ,34.0
364,47.951251299999996,-122.257971, , , , , ,36.0
365,47.951251299999996,-122.24797099999999, , , , , ,33.0
366,47.951251299999996,-122.237971, , , , , ,33.0
367,47.951251299999996,-122.227971, , , , , ,32.0
368,47.951251299999996,-122.21797099999999, , , , , ,30.0
369,47.951251299999996,-122.207971, , , , , ,29.0
370,47.951251299999996,-122.197971, , , , , ,30.0
371,47.951251299999996,-122.18797099999999, , , , , ,30.0
372,47.951251299999996,-122.177971, , , , , ,40.0
373,47.951251299999996,-122.167971, , , , , ,40.0
374,47.951251299999996,-122.15797099999999, , , , , ,41.0
375,47.951251299999996,-122.147971, , , , , ,41.0
376,47.951251299999996,-122.137971, , , , , ,38.0
377,47.951251299999996,-122.127971, , , , , ,38.0
378,47.951251299999996,-122.117971, , , , , ,35.0
379,47.951251299999996,-122.10797099999999, , , , , ,36.0
380,47.951251299999996,-122.097971, , , , , ,35.0
381,47.951251299999996,-122.087971, , , , , ,37.0
382,47.951251299999996,-122.07797099999999, , , , , ,39.0
383,47.951251299999996,-122.057971, , , , , ,45.0
384,47.951251299999996,-122.04797099999999, , , , , ,47.0
385,47.951251299999996,-122.037971, , , , , ,48.0
386,47.951251299999996,-122.027971, , , , , ,49.0
387,47.951251299999996,-122.017971, , , , , ,53.0
388,47.951251299999996,-121.99797099999999, , , , , ,51.0
389,47.951251299999996,-121.977971, , , , , ,54.0
390,47.951251299999996,-121.96797099999999, , , , , ,53.0
391,47.951251299999996,-121.957971, , , , , ,54.0
392,47.951251299999996,-121.947971, , , , , ,55.0
393,47.9412513,-122.68797099999999, , , , , ,87.0
394,47.9412513,-122.43797099999999, , , , , ,148.0
